DATE,OPEN,HIGH,LOW,CLOSE,VOL,OI,P,R,RINFO
<<<<<<< HEAD
20010916,12300.0000,12500.0000,12300.0000,12500.0000,2064,0,0,0,0.0000
20010918,12400.0000,12550.0000,12300.0000,12550.0000,1833,5295,200112,200112,0.0000
20010919,12860.0000,12860.0000,12680.0000,12680.0000,683,4470,0,0,410.0000
20010920,13060.0000,13060.0000,12350.0000,12350.0000,374,4556,0,0,0.0000
20010921,12000.0000,12000.0000,11650.0000,11750.0000,59,5175,0,0,0.0000
20010924,12000.0000,12350.0000,12000.0000,12250.0000,265,5523,0,0,0.0000
20010925,12200.0000,12350.0000,12200.0000,12300.0000,28,5543,0,0,0.0000
20010926,12250.0000,12350.0000,12100.0000,12100.0000,15,5673,0,0,0.0000
20010927,12200.0000,12290.0000,12200.0000,12290.0000,579,5694,0,0,0.0000
20010928,12410.0000,12605.0000,12410.0000,12605.0000,467,5676,0,0,0.0000
20011001,12600.0000,12750.0000,12500.0000,12552.0000,0,5304,0,0,0.0000
20011002,12550.0000,12570.0000,12480.0000,12570.0000,28,0,0,0,0.0000
20011003,12590.0000,12750.0000,12590.0000,12750.0000,8,5679,0,0,0.0000
20011004,13250.0000,13303.0000,13250.0000,13303.0000,264,5655,0,0,0.0000
20011005,13100.0000,13370.0000,13100.0000,13100.0000,374,5663,0,0,0.0000
20011008,13000.0000,13100.0000,13000.0000,13100.0000,176,5862,0,0,0.0000
20011009,13290.0000,13550.0000,13210.0000,13550.0000,153,5598,0,0,0.0000
20011010,13450.0000,13670.0000,13450.0000,13670.0000,0,5618,0,0,0.0000
20011011,13750.0000,14002.0000,13750.0000,13961.0000,36,0,0,0,0.0000
20011012,14250.0000,14250.0000,14130.0000,14130.0000,0,5777,0,0,0.0000
20011015,14000.0000,14000.0000,13800.0000,13880.0000,373,0,0,0,0.0000
20011016,13780.0000,13820.0000,13780.0000,13820.0000,108,5822,0,0,0.0000
20011017,14150.0000,14380.0000,14150.0000,14200.0000,26,6186,0,0,0.0000
20011018,13800.0000,14000.0000,13800.0000,14000.0000,74,6211,0,0,0.0000
20011019,14000.0000,14000.0000,13920.0000,13920.0000,5,6226,0,0,0.0000
20011022,13900.0000,13900.0000,13900.0000,13900.0000,63,6244,0,0,0.0000
20011023,14550.0000,14550.0000,14500.0000,14520.0000,453,6244,0,0,0.0000
20011024,14920.0000,14920.0000,14822.0000,14860.0000,22,6222,0,0,0.0000
20011025,14950.0000,15100.0000,14940.0000,14940.0000,50,6522,0,0,0.0000
20011026,14950.0000,14950.0000,14820.0000,14820.0000,29,6507,0,0,0.0000
20011029,14800.0000,14800.0000,14531.0000,14621.0000,0,6537,0,0,0.0000
20011030,14520.0000,14520.0000,14300.0000,14300.0000,19,0,0,0,0.0000
20011031,14450.0000,14623.0000,14450.0000,14623.0000,105,6527,0,0,0.0000
20011101,14888.0000,14888.0000,14480.0000,14480.0000,70,6532,0,0,0.0000
20011102,14700.0000,14700.0000,14650.0000,14650.0000,562,6633,0,0,0.0000
20011105,14955.0000,15000.0000,14800.0000,14980.0000,2,6683,0,0,0.0000
20011106,14940.0000,14940.0000,14873.0000,14873.0000,353,7223,0,0,0.0000
20011107,15000.0000,15000.0000,14830.0000,14986.0000,740,7225,0,0,0.0000
20011108,15303.0000,15430.0000,15250.0000,15430.0000,411,7205,0,0,0.0000
20011109,15100.0000,15140.0000,14950.0000,15093.0000,15,7735,0,0,0.0000
20011112,15030.0000,15030.0000,14890.0000,15000.0000,33,7774,0,0,0.0000
20011113,15370.0000,15543.0000,15370.0000,15543.0000,16,7722,0,0,0.0000
20011114,15700.0000,15700.0000,15590.0000,15590.0000,710,7727,0,0,0.0000
20011115,15850.0000,15900.0000,15710.0000,15710.0000,63,7724,0,0,0.0000
20011116,15750.0000,15900.0000,15750.0000,15800.0000,313,7721,0,0,0.0000
20011119,15990.0000,16010.0000,15786.0000,15786.0000,91,7071,0,0,0.0000
20011120,15800.0000,15800.0000,15650.0000,15800.0000,66,7115,0,0,0.0000
20011121,15600.0000,15690.0000,15450.0000,15611.0000,20,7168,0,0,0.0000
20011122,15800.0000,15850.0000,15800.0000,15850.0000,125,7166,0,0,0.0000
20011123,15920.0000,16040.0000,15814.0000,16040.0000,6,7186,0,0,0.0000
20011126,16000.0000,16090.0000,16000.0000,16090.0000,69,7154,0,0,0.0000
20011127,16020.0000,16050.0000,15810.0000,15832.0000,110,7156,0,0,0.0000
20011128,15650.0000,15650.0000,15450.0000,15550.0000,300,7168,0,0,0.0000
